phosphor	compound.n.02,synthetic.n.01
Midrash	statement.n.01,comment.n.02
vestiture	consumer_goods.n.01,clothing.n.01,covering.n.02
co-beneficiary	beneficiary.n.01,recipient.n.01
Guantanamo_Bay	body_of_water.n.01,bay.n.01
curly_pondweed	pondweed.n.01,aquatic_plant.n.01
Lut_Desert	biome.n.01,desert.n.01,tract.n.01
Gregory_the_Great	doctor_of_the_church.n.01,theologian.n.01
Gregory_the_Great	pope.n.01,catholic.n.01,spiritual_leader.n.01
Gregory_the_Great	saint.n.01,deity.n.01
Uub	substance.n.01,chemical_element.n.01
Charles_Townes	scientist.n.01,physicist.n.01
rheometer	measuring_instrument.n.01,instrument.n.01
Mbeya	city.n.01,municipality.n.01
title_bar	marker.n.02,label.n.04
Rudolf_Steiner	scholar.n.01,philosopher.n.01
Sukkoth	jewish_holy_day.n.01,religious_holiday.n.01
Sukkoth	festival.n.01,religious_festival.n.01
euthenics	life_science.n.01,natural_science.n.01
eulogium	praise.n.01,approval.n.04
posthouse	hotel.n.01,hostel.n.01
Golfo_de_Campeche	gulf.n.01,body_of_water.n.01
reverse_lightning	electrical_discharge.n.01,atmospheric_phenomenon.n.01,atmospheric_electricity.n.01
ashram	retreat.n.02,area.n.01
sudatorium	house.n.12,bathhouse.n.02
dry-wood_termite	termite.n.01,insect.n.01
Sir_Arthur_Travers_Harris	general.n.01,marshal.n.02,general_officer.n.01,commissioned_military_officer.n.01
Great_Salt_Desert	biome.n.01,desert.n.01,tract.n.01
tirolean	headdress.n.01,hat.n.01
alluvial_flat	plain.n.01,flat.n.01
National_Science_Foundation	agency.n.01,independent_agency.n.01
Licinius_Lucullus	general.n.01,general_officer.n.01
foppishness	manner.n.02,demeanor.n.01
medusoid	coelenterate.n.01,invertebrate.n.01
Urim_and_Thummim	reply.n.02,answer.n.03
snowboard	sheet.n.06,board.n.03
Frans_Hals	old_master.n.01,maestro.n.01,painter.n.01
splenius_muscle	muscle.n.01,skeletal_muscle.n.01
cosmetology	use.n.01,practice.n.04
vitrine	container.n.01,instrumentality.n.03
theosophism	belief.n.01,content.n.05
Edward_IV	king_of_england.n.01,king.n.01
catalectic	line.n.05,line_of_poetry.n.01
caulking	sealing_material.n.01,sealant.n.01
Llewelyn_Powys	writer.n.01,communicator.n.01
Canton_River	stream.n.01,river.n.01
thermochemistry	chemistry.n.01,natural_science.n.01
zymology	biochemistry.n.01,organic_chemistry.n.01
vaporizer	device.n.01,instrumentality.n.03
archaist	causal_agent.n.01,person.n.01,organism.n.01,expert.n.01
Gabriello_Fallopio	anatomist.n.01,expert.n.01
Zbit	computer_memory_unit.n.01,unit_of_measurement.n.01
Tripoli	rock.n.02,limestone.n.01,sedimentary_rock.n.01
Tripoli	city.n.01,national_capital.n.01,capital.n.03,municipality.n.01
Tripoli	geographic_point.n.01,port.n.01
KP	serviceman.n.01,enlisted_person.n.01
filthy_lucre	net_income.n.01,income.n.01
duodecimal_system	numeration_system.n.01,positional_notation.n.01
Syrian_Desert	biome.n.01,desert.n.01,tract.n.01
Dasht-e-Kavir	biome.n.01,desert.n.01,tract.n.01
strike_zone	zone.n.03,region.n.01
Jan_Steen	old_master.n.01,maestro.n.01,painter.n.01
otherworld	entity.n.01,abstraction.n.06
venerability	righteousness.n.01,honorableness.n.01
gangsta	person.n.01,peer.n.01
Maffeo_Barberini	pope.n.01,catholic.n.01,spiritual_leader.n.01
steatopygia	fatness.n.01,bodily_property.n.01
Gregory_XII	pope.n.01,catholic.n.01,spiritual_leader.n.01
foreign_country	political_unit.n.01,state.n.04
micrometry	measurement.n.01,activity.n.01
Townes	scientist.n.01,physicist.n.01
Segway	device.n.01,electrical_device.n.01
Remicade	antibody.n.01,monoclonal_antibody.n.01
Remicade	drug.n.01,anti-tnf_compound.n.01
labor_camp	penal_institution.n.01,camp.n.05
zettabit	computer_memory_unit.n.01,unit_of_measurement.n.01
Dorothea_Lynde_Dix	disputant.n.01,reformer.n.01
duodecimal_number_system	numeration_system.n.01,positional_notation.n.01
toxicognath	fang.n.02,extremity.n.01
mastic_tree	woody_plant.n.01,shrub.n.01
Miao	asian.n.01,person_of_color.n.01,inhabitant.n.01
Miao	natural_language.n.01,language.n.01
filial_love	love.n.01,emotion.n.01
Lake_Baykal	body_of_water.n.01,lake.n.01
Synoptics	writing.n.02,sacred_text.n.01
sun_god	deity.n.01,spiritual_being.n.01
genus_Pica	bird_genus.n.01,genus.n.02
eye_operation	medical_procedure.n.01,operation.n.06
filmdom	industry.n.01,film_industry.n.01
pebibyte	computer_memory_unit.n.01,unit_of_measurement.n.01
Francesco_della_Rovere	pope.n.01,catholic.n.01,spiritual_leader.n.01
champerty	activity.n.01,wrongdoing.n.02
EiB	computer_memory_unit.n.01,unit_of_measurement.n.01
hexapod	animal.n.01,organism.n.01
dub	sound.n.02,sensation.n.01
visitation_right	legal_right.n.01,right.n.01
Howard_Pyle	artist.n.01,illustrator.n.01
Howard_Pyle	writer.n.01,communicator.n.01
coextension	longness.n.01,extension.n.09
Tacitus	scholar.n.01,historian.n.01
trustor	benefactor.n.01,donor.n.01
West	location.n.01,object.n.01,geographical_area.n.01,region.n.03
West	position.n.07,direction.n.02,compass_point.n.01,cardinal_compass_point.n.01
West	writer.n.01,communicator.n.01
West	actress.n.01,actor.n.01
West	comedienne.n.02,comedian.n.01
West	artist.n.01,painter.n.01
extremeness	quality.n.01,attribute.n.02
cord_blood	liquid_body_substance.n.01,blood.n.01
catamite	male_child.n.01,male.n.02
Db	substance.n.01,chemical_element.n.01
Db	sound_unit.n.01,unit_of_measurement.n.01
Naseby	town.n.01,municipality.n.01
Naseby	battle.n.01,pitched_battle.n.01
Yibit	computer_memory_unit.n.01,unit_of_measurement.n.01
open-hearth_furnace	chamber.n.01,furnace.n.01
yobibit	computer_memory_unit.n.01,unit_of_measurement.n.01
Olympian_Zeus	sculpture.n.01,statue.n.01
alienee	recipient.n.01,acquirer.n.01
episome	deoxyribonucleic_acid.n.01,polymer.n.01
Adelie_Land	region.n.03,geographical_area.n.01
prognathism	condition.n.01,state.n.02
potlatch	ceremony.n.01,fete.n.01,party.n.04,affair.n.03
Johann_Eck	scholar.n.01,theologian.n.01
lobbyism	activity.n.01,practice.n.01
Uut	substance.n.01,chemical_element.n.01
Clinton	senator.n.01,legislator.n.01
Clinton	president_of_the_united_states.n.01,head_of_state.n.01
Clinton	leader.n.01,politician.n.02
Clinton	town.n.01,municipality.n.01
pinwheel_wind_collector	plaything.n.01,artifact.n.01
Bremerhaven	city.n.01,municipality.n.01
Bremerhaven	geographic_point.n.01,port.n.01
Sun_City	suburb.n.01,residential_district.n.01
Claes_Oldenburg	sculptor.n.01,artist.n.01
probiotic	microorganism.n.01,bacteria.n.01
atomic_number_109	substance.n.01,chemical_element.n.01
superstrate	stratum.n.01,layer.n.02
superstrate	language.n.01,communication.n.02
sun_protection_factor	degree.n.01,property.n.02
Twinkie	sponge_cake.n.01,cake.n.03
battle_of_Wagram	battle.n.01,pitched_battle.n.01
electrotherapy	therapy.n.01,medical_care.n.01
element_115	substance.n.01,chemical_element.n.01
ventral_horn	motor_nerve.n.01,nerve.n.01
innateness	quality.n.01,changelessness.n.02
generic_noun	noun.n.01,substantive.n.01,content_word.n.01
Marilyn_Horne	mezzo-soprano.n.01,soprano.n.01
Ottawa	indian.n.01,algonquian.n.01
Ottawa	stream.n.01,river.n.01
Ottawa	city.n.01,national_capital.n.01,capital.n.03
Qara_Qum	biome.n.01,desert.n.01,tract.n.01
Achaea	location.n.01,region.n.01
touchscreen	screen.n.03,computer_screen.n.01
blue_jet	electrical_discharge.n.01,atmospheric_phenomenon.n.01,atmospheric_electricity.n.01
per_diem	reimbursement.n.01,allowance.n.02
ex-boyfriend	male.n.02,man.n.01,adult.n.01
Berbers	ethnic_group.n.01,ethnic_minority.n.01
Berbers	person.n.01,african.n.01
Berbers	natural_language.n.01,afroasiatic.n.01
sea_god	deity.n.01,spiritual_being.n.01
abator	causal_agent.n.01,person.n.01,organism.n.01
osteology	morphology.n.01,anatomy.n.01
pencil_sharpener	sharpener.n.01,implement.n.01
provirus	deoxyribonucleic_acid.n.01,complementary_dna.n.01
germ_tube	plant_part.n.01,natural_object.n.01
reflexology	behaviorism.n.01,experimental_psychology.n.01
reflexology	treatment.n.01,massage.n.01
long_chain	chain.n.02,unit.n.05
Seneca_Lake	body_of_water.n.01,lake.n.01
Brockhouse	scientist.n.01,physicist.n.01
Homeland_Security	executive_department.n.01,federal_department.n.01
Abkhaz	white.n.01,circassian.n.01
Abkhaz	administrative_district.n.01,state.n.01
Abkhaz	circassian.n.02,community.n.01
psychodynamics	relation.n.01,interrelation.n.01
psychodynamics	social_psychology.n.01,psychology.n.01
yip	cry.n.05,sound.n.04
Mt	substance.n.01,chemical_element.n.01
Mt	metric_weight_unit.n.01,mass_unit.n.01,metric_unit.n.01
Mt	state.n.01,american_state.n.01
Mt	computer_science.n.01,artificial_intelligence.n.01
Mt	computational_linguistics.n.01,linguistics.n.01
mariticide	murder.n.01,homicide.n.01
Jesuit_order	sect.n.01,order.n.11
eigenvalue	numerical_quantity.n.01,value.n.01
miotic	drug.n.01,agent.n.03
home_folk	people.n.01,folk.n.01
fumigator	skilled_worker.n.01,worker.n.01
fumigator	device.n.01,instrumentality.n.03
catechin	phenol.n.01,tannin.n.01
Foggy_Bottom	executive_department.n.01,department_of_state.n.01
catholicon	medicine.n.02,remedy.n.02
Nineteenth_Amendment	statement.n.01,amendment.n.02
private_practice	use.n.01,practice.n.04
Re	chemical_element.n.01,metallic_element.n.01
Re	deity.n.01,egyptian_deity.n.01
Re	solfa_syllable.n.01,syllable.n.01
Chukchi	russian.n.01,siberian.n.01
Chukchi	natural_language.n.01,language.n.01
carpal_tunnel	structure.n.04,passage.n.07
Morrison_Remick_Waite	judge.n.01,chief_justice.n.01
Gaius_Cornelius_Tacitus	scholar.n.01,historian.n.01
Moreau_River	stream.n.01,river.n.01
infinitesimal	quantity.n.03,variable.n.02
Cinco_de_Mayo	calendar_day.n.01,day.n.03
Ab	bachelor's_degree.n.01,academic_degree.n.01
Ab	calendar_month.n.01,jewish_calendar_month.n.01
Ab	muscle.n.01,skeletal_muscle.n.01
Ab	blood.n.01,blood_group.n.01
Tibit	computer_memory_unit.n.01,unit_of_measurement.n.01
hassium	substance.n.01,chemical_element.n.01
K	temperature_unit.n.01,computer_memory_unit.n.01,unit_of_measurement.n.01
K	chemical_element.n.01,metallic_element.n.01
K	large_integer.n.01,integer.n.01
K	letter.n.02,character.n.08
K	general_anesthetic.n.01,club_drug.n.01,ketamine.n.01
polynya	body_of_water.n.01,thing.n.12
cerebral_edema	swelling.n.01,edema.n.01
Xhosa	person.n.01,african.n.01
Xhosa	community.n.01,gathering.n.01
Xhosa	bantu.n.02,nguni.n.01
candlepin	bowling_equipment.n.01,bowling_pin.n.01
Lake_Canandaigua	body_of_water.n.01,lake.n.01
American_grey_birch	tree.n.01,birch.n.02
Mormon_Church	denomination.n.01,protestant_denomination.n.01
Gulf_of_Carpentaria	australia.n.02
Gulf_of_Carpentaria	gulf.n.01,body_of_water.n.01
clip-clop	happening.n.01,sound.n.04
dishtowel	towel.n.01,piece_of_cloth.n.01
Uncle_Remus	imaginary_being.n.01,fictional_character.n.01
barracouta	fish.n.01,food_fish.n.01
Ra	chemical_element.n.01,metallic_element.n.01
Ra	deity.n.01,egyptian_deity.n.01
Ra	angle.n.01,angular_distance.n.01
Chartres	town.n.01,municipality.n.01
Raja_batis	skate.n.02,ray.n.07
hypophysial_dwarf	small_person.n.01,dwarf.n.01
Tarbell	writer.n.01,communicator.n.01
shift_key	key.n.15,lever.n.01
Burger	judge.n.01,chief_justice.n.01
Burger	snack_food.n.01,sandwich.n.01
Qizil_Qum	biome.n.01,desert.n.01,tract.n.01
Sidon	city.n.01,municipality.n.01
outer_planet	celestial_body.n.01,planet.n.01
film_noir	movie.n.01,product.n.02,show.n.03
Aleut	indian.n.01,amerindian.n.01
Aleut	community.n.01,gathering.n.01
Aleut	natural_language.n.01,eskimo-aleut.n.01
amaretto	alcohol.n.01,liqueur.n.01
bong	happening.n.01,sound.n.04
druidism	paganism.n.01,religion.n.01
force_play	putout.n.01,out.n.01
vizsla	pointer.n.04,sporting_dog.n.01
twelfth_part	fraction.n.03,common_fraction.n.01
battle_of_Cynoscephalae	battle.n.01,pitched_battle.n.01
manana	future.n.01,time.n.05
Robert_Peel	leader.n.01,politician.n.02
Rabindranath_Tagore	scholar.n.01,philosopher.n.01
Rabindranath_Tagore	writer.n.01,communicator.n.01
Lake_Volta	reservoir.n.02,lake.n.01
Ds	substance.n.01,chemical_element.n.01
Ds	administrative_unit.n.01,agency.n.01
Ds	academic_degree.n.01,honorary_degree.n.01
Ds	vitamin.n.01,fat-soluble_vitamin.n.01
Ds	large_integer.n.01,integer.n.01
Ds	letter.n.02,character.n.08
honeymoon_resort	hotel.n.01,resort.n.01
Mavik	ace_inhibitor.n.01,antihypertensive.n.01
kbit	computer_memory_unit.n.01,unit_of_measurement.n.01
exchange_traded_fund	mutual_fund.n.01,fund.n.01
Vicente_Lopez	city.n.01,municipality.n.01
shinney	field_game.n.01,field_hockey.n.01
kibibyte	computer_memory_unit.n.01,unit_of_measurement.n.01
universal_proposition	proposition.n.01,statement.n.01
Condorcet	mathematician.n.01,scientist.n.01
Condorcet	scholar.n.01,philosopher.n.01
suction_lipectomy	lipectomy.n.01,plastic_surgery.n.01
Gustavus_IV	king.n.01,sovereign.n.01
skin_flick	movie.n.01,product.n.02,show.n.03
Seven_Wonders_of_the_Ancient_World	structure.n.01,memorial.n.03
ephemeral	arthropod.n.01,insect.n.01
tonometry	measurement.n.01,activity.n.01
arithmancy	divination.n.03,prophecy.n.01
lucrativeness	advantage.n.01,profit.n.02
falanga	persecution.n.01,torture.n.05
ready-made	whole.n.02,artifact.n.01
semimonthly	series.n.03,periodical.n.01
Ferdinand_of_Aragon	king.n.01,sovereign.n.01
ganglion_cell	somatic_cell.n.01,nerve_cell.n.01
salutatory_address	oratory.n.01,address.n.03
Ionian	european.n.01,greek.n.02
Ionian	group.n.01,citizenry.n.01
judicial_torture	persecution.n.01,torture.n.05
scrambled_eggs	nutriment.n.01,dish.n.02
miso	spread.n.05,condiment.n.01
seductress	seducer.n.01,bad_person.n.01
fundamental_analysis	analysis.n.01,investigation.n.02
Muhammadan	follower.n.01,person.n.01
by-election	election.n.01,vote.n.02
dextrin	carbohydrate.n.01,polysaccharide.n.01
Bruno_of_Toul	pope.n.01,catholic.n.01,spiritual_leader.n.01
caulk	sealing_material.n.01,sealant.n.01
thunderhead	cumulus.n.01,cloud.n.02
angioedema	swelling.n.01,edema.n.01
taoiseach	head_of_state.n.01,chancellor.n.02
isoclinal	line.n.11,isogram.n.01
EDTA	unit.n.05,molecule.n.01
cortical_cataract	cataract.n.01,eye_disease.n.01
first_visual_area	area.n.03,cortical_area.n.01
sanitation_department	government_department.n.01,local_department.n.01
gastrointestinal_hormone	hormone.n.01,secretion.n.02
Edward_I	king_of_england.n.01,king.n.01
electrostatic_precipitation	process.n.06,industrial_process.n.01
labiodental	consonant.n.01,phone.n.02
Oddone_Colonna	pope.n.01,catholic.n.01,spiritual_leader.n.01
single_nucleotide_polymorphism	organic_phenomenon.n.01,polymorphism.n.01
nun's_habit	attire.n.01,habit.n.03
Vidalia	town.n.01,municipality.n.01
rappel	motion.n.06,descent.n.03
jumpstart	act.n.02,action.n.01
George_III	king_of_england.n.01,king.n.01
mammalogist	zoologist.n.01,biologist.n.01
Grigori_Potemkin	serviceman.n.01,military_officer.n.01
Grigori_Potemkin	leader.n.01,politician.n.02
Assyrian_Akkadian	semitic.n.01,akkadian.n.01
Az_Zarqa	city.n.01,municipality.n.01
readout	signal.n.01,output_signal.n.01
readout	message.n.02,information.n.01
readout	device.n.01,electronic_device.n.01
Zabrze	city.n.01,municipality.n.01
moppet	female.n.02,female_child.n.01
hornbook	textbook.n.01,primer.n.01
Karen_Danielsen_Horney	specialist.n.02,psychiatrist.n.01
posterior_subcapsular_cataract	cataract.n.01,eye_disease.n.01
Dahna	biome.n.01,desert.n.01,tract.n.01
Sangraal	chalice.n.01,cup.n.01
sportscast	broadcast.n.01,news.n.02,newscast.n.01
Dix	disputant.n.01,reformer.n.01
periodic_edema	swelling.n.01,edema.n.01
Fallopius	anatomist.n.01,expert.n.01
unemployed	group.n.01,people.n.01
guide_word	language_unit.n.01,word.n.01
Toyohashi	city.n.01,municipality.n.01
Papuan	indonesian.n.01,asian.n.01
Papuan	natural_language.n.01,language.n.01
Plataea	town.n.01,municipality.n.01
Plataea	battle.n.01,pitched_battle.n.01
Okeechobee_Waterway	body_of_water.n.01,waterway.n.01
Pilate	procurator.n.02,bureaucrat.n.01
Thessalian	european.n.01,greek.n.02
Dhahran	town.n.01,municipality.n.01
Kechua	south_american_indian.n.01,amerindian.n.01
Kechua	community.n.01,gathering.n.01
Kechua	natural_language.n.01,amerind.n.01
Morrison_Waite	judge.n.01,chief_justice.n.01
Glucotrol	antidiabetic.n.01,medicine.n.02
hydrologist	scientist.n.01,geologist.n.01
Achomawi	indian.n.01,hokan.n.02
Achomawi	community.n.01,gathering.n.01
Achomawi	hokan.n.01,shastan.n.01
minibus	bus.n.01,public_transport.n.01
Salix_tristis	tree.n.01,willow.n.01
Sabine	stream.n.01,river.n.01
Sabine	european.n.01,italian.n.01
shinny	field_game.n.01,field_hockey.n.01
toe_box	upper.n.02,piece_of_leather.n.01
autochthon	person.n.01,primitive.n.01
ordnance_store	armament.n.01,weaponry.n.01
Explorer	causal_agent.n.01,person.n.01,organism.n.01
Explorer	browser.n.02,application.n.04
Black_Vernacular	american_english.n.01,english.n.01
bush_bean	bean.n.03,legume.n.01
Hefa	city.n.01,municipality.n.01
Hefa	geographic_point.n.01,port.n.01
false_bottom	structure.n.01,artifact.n.01
Keynesian	follower.n.01,person.n.01
bucksaw	saw.n.02,hand_tool.n.01
Marie_Jean_Antoine_Nicolas_Caritat	mathematician.n.01,scientist.n.01
Marie_Jean_Antoine_Nicolas_Caritat	scholar.n.01,philosopher.n.01
nail_pulling	persecution.n.01,torture.n.05
Moynihan	professional.n.01,educator.n.01
Moynihan	leader.n.01,politician.n.02
Mount_Communism	peak.n.04,mountain_peak.n.01
Dorian	european.n.01,greek.n.02
Dorian	group.n.01,citizenry.n.01
retronym	language_unit.n.01,word.n.01
Samaria	city.n.01,municipality.n.01
Bh	substance.n.01,chemical_element.n.01
ununpentium	substance.n.01,chemical_element.n.01
Doctor_of_Sacred_Theology	doctor's_degree.n.01,academic_degree.n.01
age-related_macular_degeneration	degeneration.n.01,macular_degeneration.n.01,eye_disease.n.01
free_lance	person.n.01,worker.n.01
step_rocket	rocket.n.01,vehicle.n.01
tailor-made	consumer_goods.n.01,clothing.n.01,covering.n.02
gibibit	computer_memory_unit.n.01,unit_of_measurement.n.01
Benjamin_West	artist.n.01,painter.n.01
M-theory	hypothesis.n.02,model.n.01
brandy_sling	sling.n.01,highball.n.01
varietal	wine.n.01,alcohol.n.01
cephalometry	measurement.n.01,activity.n.01
agglomerate	volcanic_rock.n.01,igneous_rock.n.01
agglomerate	group.n.01,collection.n.01
probiotic_flora	microorganism.n.01,bacteria.n.01
recessive	allele.n.01,gene.n.01
uneven_parallel_bars	parallel_bars.n.01,gymnastic_apparatus.n.01
dideoxyinosine	antiviral.n.01,medicine.n.02
the_absurd	situation.n.01,state.n.02
sarsenet	fabric.n.01,silk.n.01
Giordano_Bruno	scholar.n.01,philosopher.n.01
BMI	index.n.02,fact.n.02
broken_home	family.n.01,unit.n.03
duodecimal_digit	digit.n.01,integer.n.01
20/20	sight.n.03,acuity.n.01
Emile_Coue	therapist.n.01,psychotherapist.n.01
petroglyph	carving.n.02,creating_by_removal.n.01
wedding_picture	representation.n.02,photograph.n.01
KB	computer_memory_unit.n.01,unit_of_measurement.n.01
Gregory_VII	pope.n.01,catholic.n.01,spiritual_leader.n.01
exbibit	computer_memory_unit.n.01,unit_of_measurement.n.01
Council_of_Constance	council.n.02,assembly.n.04
Spotsylvania	village.n.02,settlement.n.06
Spotsylvania	battle.n.01,pitched_battle.n.01
twentieth_century	century.n.01,time_period.n.01
the_way_of_the_world	activity.n.01,behavior.n.01
haymow	batch.n.02,large_indefinite_quantity.n.01
haymow	floor.n.02,loft.n.02
G	computer_memory_unit.n.01,metric_unit.n.01,force_unit.n.01,metric_weight_unit.n.01,mass_unit.n.01,unit_of_measurement.n.01
G	purine.n.01,base.n.10
G	ester.n.01,nucleotide.n.01
G	large_integer.n.01,number.n.02,integer.n.01,constant.n.02
G	letter.n.02,character.n.08
fluorescent	fixture.n.01,lighting_fixture.n.01
idle	action.n.02,operation.n.01
snowboarding	motion.n.06,slide.n.05
blaxploitation	exploitation.n.02,mistreatment.n.01
Marston_Moor	plain.n.01,moor.n.02
Marston_Moor	battle.n.01,pitched_battle.n.01
petabit	computer_memory_unit.n.01,unit_of_measurement.n.01
Ebit	computer_memory_unit.n.01,unit_of_measurement.n.01
arc_secant	function.n.01,trigonometric_function.n.01
Diocletian	emperor.n.01,roman_emperor.n.01
segregationism	political_orientation.n.01,orientation.n.02
Signorina	woman.n.01,unmarried_woman.n.01
Signorina	appellation.n.01,title.n.06
cowtown	town.n.01,municipality.n.01
Saint_Cyril	teacher.n.01,missionary.n.01
Mickey_Finn	knockout_drops.n.01,chloral_hydrate.n.01
Chichewa	person.n.01,african.n.01
Chichewa	niger-congo.n.01,bantu.n.02
Francois_Maurice_Marie_Mitterrand	statesman.n.01,politician.n.02
Theobid	bronchodilator.n.01,medicine.n.02
Duma	legislature.n.01,assembly.n.04
Lake_Seneca	body_of_water.n.01,lake.n.01
fan-jet	jet.n.01,airplane.n.01
fan-jet	jet_engine.n.01,reaction-propulsion_engine.n.01
Empire_State_Building	building.n.01,skyscraper.n.01
Bayrut	city.n.01,national_capital.n.01,capital.n.03
multifocal_IOL	lens_implant.n.01,implant.n.01
burnability	quality.n.01,attribute.n.02
Mobuto_Lake	body_of_water.n.01,lake.n.01
pluralisation	grammatical_relation.n.01,inflection.n.01
Frederick_North	statesman.n.01,politician.n.02
thoracotomy	cut.n.16,incision.n.02
Baikal	body_of_water.n.01,lake.n.01
coronary_heart_disease	cardiovascular_disease.n.01,heart_disease.n.01
Charlestown	section.n.03,vicinity.n.01
fly_gallery	horizontal_surface.n.01,platform.n.01
Rosicrucian	associate.n.01,member.n.01
neck_opening	artifact.n.01,opening.n.10
yottabit	computer_memory_unit.n.01,unit_of_measurement.n.01
Altay_Mountains	range.n.04,geological_formation.n.01
Mahdist	follower.n.01,disciple.n.01
Liberal_Democrat_Party	party.n.01,organization.n.01
grey_whale	whale.n.02,baleen_whale.n.01
iproclozide	antidepressant.n.01,monoamine_oxidase_inhibitor.n.01
Monitor	superior.n.01,supervisor.n.01
Monitor	preserver.n.03,defender.n.01
Monitor	craft.n.02,vessel.n.02
Monitor	display.n.06,electronic_device.n.01
Monitor	equipment.n.01,electronic_equipment.n.01
Monitor	lizard.n.01,saurian.n.01
Kavir_Desert	biome.n.01,desert.n.01,tract.n.01
rockiness	irregularity.n.02,unevenness.n.01
Clement_VII	pope.n.01,catholic.n.01,spiritual_leader.n.01
underlip	external_body_part.n.01,lip.n.01,articulator.n.02
Hume_Cronyn	actor.n.01,performer.n.01
inner_resource	resource.n.02,asset.n.01
Cronyn	actor.n.01,performer.n.01
C	temperature_unit.n.01,degree.n.06
C	large_integer.n.01,number.n.02,integer.n.01,constant.n.02
C	rate.n.01,speed.n.01
C	antioxidant.n.01,inhibitor.n.01
C	water-soluble_vitamin.n.01,vitamin.n.01
C	ester.n.01,nucleotide.n.01
C	pyrimidine.n.01,base.n.10
C	substance.n.01,chemical_element.n.01
C	electromagnetic_unit.n.01,charge_unit.n.01
C	programming_language.n.01,artificial_language.n.01
C	note.n.03,tonic.n.03
C	letter.n.02,character.n.08
C	cocaine.n.01,hard_drug.n.01
Ar_Rimsal	biome.n.01,desert.n.01,tract.n.01
grey_flounder	lefteye_flounder.n.01,flatfish.n.02
in_time	time.n.05,musical_time.n.01
African_gray	parrot.n.01,bird.n.01
November_11	holiday.n.02,legal_holiday.n.01
Fraulein	appellation.n.01,title.n.06
Moho	extremity.n.04,boundary.n.01
one-twelfth	fraction.n.03,common_fraction.n.01
generic_wine	wine.n.01,alcohol.n.01
fair_trade	commerce.n.01,trade.n.01
holding_paddock	pen.n.02,enclosure.n.01
atomic_number_111	substance.n.01,chemical_element.n.01
ophthalmoscopy	investigation.n.02,examination.n.01
type_AB	blood.n.01,blood_group.n.01
Kazan	supervisor.n.01,director.n.03
Kazan	city.n.01,municipality.n.01
neve	object.n.01,ice.n.02
TB	chemical_element.n.01,metallic_element.n.01
TB	communicable_disease.n.01,infectious_disease.n.01
TB	computer_memory_unit.n.01,unit_of_measurement.n.01
Eschrichtius_gibbosus	whale.n.02,baleen_whale.n.01
universal_set	set.n.02,abstraction.n.06
dscDNA	deoxyribonucleic_acid.n.01,complementary_dna.n.01
Butler	manservant.n.01,servant.n.01
Butler	poet.n.01,writer.n.01,communicator.n.01
postdoctoral	aid.n.03,grant.n.01,grant-in-aid.n.02
supremacism	belief.n.01,content.n.05
Pyle	artist.n.01,illustrator.n.01
Pyle	writer.n.01,communicator.n.01
coffee_cappuccino	beverage.n.01,coffee.n.01
dustiness	sanitary_condition.n.01,dirtiness.n.01
Lates	fish_genus.n.01,genus.n.02
continuous_creation_theory	theory.n.01,scientific_theory.n.01
earned_run_average	system_of_measurement.n.01,standard.n.01
